IATA,AIRPORT,CITY,STATE,LATITUDE,,,,,,Y-coordinate,LONGITUDE,,,,,,X-coordinate
ABQ,Albuquerque International,Albuquerque,NM,35.04022222,-37.61900194,-2.57877972,-4.9656,12.80518858,465,477.8051886,-106.6091944,122.3748433,15.7656489,5.7618,90.83851583,320,410.8385158
ANC,Ted Stevens Anchorage International,Anchorage,AK,61.17432028,-37.61900194,23.55531834,-4.9656,-116.9662887,465,292.0337113,-149.9961856,122.3748433,-27.6213423,5.7618,-159.1486501,320,180.8513499
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-37.61900194,-3.9785575,-4.9656,19.75592512,465,484.7559251,-84.42694444,122.3748433,37.94789886,5.7618,218.6482037,320,538.6482037
AUS,Austin-Bergstrom International,Austin,TX,30.19453278,-37.61900194,-7.42446916,-4.9656,36.86694406,465,501.8669441,-97.66987194,122.3748433,24.70497136,5.7618,142.345104,320,462.345104
BDL,Bradley International,Windsor Locks,CT,41.93887417,-37.61900194,4.31987223,-4.9656,-21.45075755,465,443.5492425,-72.68322833,122.3748433,49.69161497,5.7618,286.3131471,320,606.3131471
BHM,Birmingham International,Birmingham,AL,33.56294306,-37.61900194,-4.05605888,-4.9656,20.14076597,465,485.140766,-86.75354972,122.3748433,35.62129358,5.7618,205.2427693,320,525.2427693
BNA,Nashville International,Nashville,TN,36.12447667,-37.61900194,-1.49452527,-4.9656,7.421214681,465,472.4212147,-86.67818222,122.3748433,35.69666108,5.7618,205.6770218,320,525.6770218
BOS,Gen Edw L Logan Intl,Boston,MA,42.3643475,-37.61900194,4.74534556,-4.9656,-23.56348791,465,441.4365121,-71.00517917,122.3748433,51.36966413,5.7618,295.9817308,320,615.9817308
BUF,Buffalo Niagara Intl,Buffalo,NY,42.94052472,-37.61900194,5.32152278,-4.9656,-26.42455352,465,438.5754465,-78.73216667,122.3748433,43.64267663,5.7618,251.4603742,320,571.4603742
BUR,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-37.61900194,-3.41838277,-4.9656,16.97432148,465,481.9743215,-118.3584969,122.3748433,4.0163464,5.7618,23.14138469,320,343.1413847
BWI,Baltimore-Washington International,Baltimore,MD,39.17540167,-37.61900194,1.55639973,-4.9656,-7.728458499,465,457.2715415,-76.66819833,122.3748433,45.70664497,5.7618,263.352547,320,583.352547
CHS,Charleston AFB International,Charleston,SC,32.89864639,-37.61900194,-4.72035555,-4.9656,23.43939752,465,488.4393975,-80.04050583,122.3748433,42.33433747,5.7618,243.9219856,320,563.9219856
CLE,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-37.61900194,3.79189223,-4.9656,-18.82902006,465,446.1709799,-81.84939667,122.3748433,40.52544663,5.7618,233.4995184,320,553.4995184
CLT,Charlotte Douglas International,Charlotte,NC,35.21401111,-37.61900194,-2.40499083,-4.9656,11.94222247,465,476.9422225,-80.94312583,122.3748433,41.43171747,5.7618,238.7212697,320,558.7212697
CMH,Port Columbus Intl,Columbus,OH,39.99798528,-37.61900194,2.37898334,-4.9656,-11.81307967,465,453.1869203,-82.89188278,122.3748433,39.48296052,5.7618,227.4929219,320,547.4929219
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-37.61900194,1.42714084,-4.9656,-7.086610555,465,457.9133894,-84.6621725,122.3748433,37.7126708,5.7618,217.2928666,320,537.2928666
DAL,Dallas Love ,Dallas,TX,32.84711389,-37.61900194,-4.77188805,-4.9656,23.6952873,465,488.6952873,-96.85177222,122.3748433,25.52307108,5.7618,147.0588309,320,467.0588309
DCA,Ronald Reagan Washington National,Arlington,VA,38.85208333,-37.61900194,1.23308139,-4.9656,-6.12298895,465,458.877011,-77.03772222,122.3748433,45.33712108,5.7618,261.2234242,320,581.2234242
DEN,Denver Intl,Denver,CO,39.85840806,-37.61900194,2.23940612,-4.9656,-11.11999503,465,453.880005,-104.6670019,122.3748433,17.7078414,5.7618,102.0290406,320,422.0290406
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-37.61900194,-4.72305138,-4.9656,23.45278393,465,488.4527839,-97.0372,122.3748433,25.3376433,5.7618,145.9904332,320,465.9904332
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-37.61900194,4.59305695,-4.9656,-22.80728359,465,442.1927164,-83.34883583,122.3748433,39.02600747,5.7618,224.8600498,320,544.8600498
ELP,El Paso International,El Paso,TX,31.80666667,-37.61900194,-5.81233527,-4.9656,28.86173202,465,493.861732,-106.3778056,122.3748433,15.9970377,5.7618,92.17173182,320,412.1717318
EWR,Newark Intl,Newark,NJ,40.69249722,-37.61900194,3.07349528,-4.9656,-15.26174816,465,449.7382518,-74.16866056,122.3748433,48.20618274,5.7618,277.7543837,320,597.7543837
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-37.61900194,-11.54641861,-4.9656,57.33489625,465,522.3348962,-80.15275,122.3748433,42.2220933,5.7618,243.2752572,320,563.2752572
HNL,Honolulu International,Honolulu,HI,21.31869111,-37.61900194,-16.30031083,-4.9656,80.94082346,465,579.9408235,-157.9224072,122.3748433,-35.5475639,5.7618,-204.8179537,320,142.1820463
HOU,William P X,Houston,TX,29.64541861,-37.61900194,-7.97358333,-4.9656,39.59362538,465,504.5936254,-95.27888889,122.3748433,27.09595441,5.7618,156.1214701,320,476.1214701
IAD,Washington Dulles International,Chantilly,VA,38.94453194,-37.61900194,1.32553,-4.9656,-6.582051768,465,458.4179482,-77.45580972,122.3748433,44.91903358,5.7618,258.8144877,320,578.8144877
IAH,George Bush Intercontinental,Houston,TX,29.98047222,-37.61900194,-7.63852972,-4.9656,37.92988318,465,502.9298832,-95.33972222,122.3748433,27.03512108,5.7618,155.7709606,320,475.7709606
IND,Indianapolis International,Indianapolis,IN,39.71732917,-37.61900194,2.09832723,-4.9656,-10.41945369,465,454.5805463,-86.29438417,122.3748433,36.08045913,5.7618,207.8883894,320,527.8883894
JAX,Jacksonville International,Jacksonville,FL,30.49405556,-37.61900194,-7.12494638,-4.9656,35.37963374,465,500.3796337,-81.68786111,122.3748433,40.68698219,5.7618,234.430254,320,554.430254
JFK,John F Kennedy Intl,New York,NY,40.63975111,-37.61900194,3.02074917,-4.9656,-14.99983208,465,450.0001679,-73.77892556,122.3748433,48.59591774,5.7618,279.9999588,320,599.9999588
LAS,McCarran International,Las Vegas,NV,36.08036111,-37.61900194,-1.53864083,-4.9656,7.640274905,465,472.6402749,-115.1523333,122.3748433,7.22251,5.7618,41.61465812,320,361.6146581
LAX,Los Angeles International,Los Angeles,CA,33.94253611,-37.61900194,-3.67646583,-4.9656,18.25585873,465,483.2558587,-118.4080744,122.3748433,3.9667689,5.7618,22.85572905,320,342.855729
LGA,LaGuardia,New York,NY,40.77724306,-37.61900194,3.15824112,-4.9656,-15.68256211,465,449.3174379,-73.87260917,122.3748433,48.50223413,5.7618,279.4601726,320,599.4601726
